game_id,promotion_id
10,2
10,6
10,3
20,1
20,10
20,6
20,5
30,10
30,6
30,5
40,1
40,2
40,9
40,10
40,4
40,6
40,5
50,7
50,4
50,5
60,2
60,9
60,10
70,7
70,9
70,3
80,2
80,6
130,8
130,2
130,5
220,9
220,10
220,4
240,8
240,10
240,3
280,2
280,10
280,6
300,1
300,2
300,10
320,7
320,10
320,4
340,9
340,5
360,4
360,6
380,8
400,8
400,2
400,9
420,8
420,2
420,10
440,7
440,4
440,6
440,3
500,6
500,3
550,2
550,9
570,1
570,10
570,6
620,6
620,3
630,7
630,2
630,4
630,3
730,1
730,2
730,5
1002,1
1002,5
1200,1
1200,4
1200,3
1200,5
1250,1
1250,10
1300,7
1300,2
1300,10
1500,8
1500,9
1500,10
1500,4
1500,3
1500,5
1510,1
1510,2
1510,9
1510,3
1520,1
1520,2
1520,4
1520,3
1520,5
1530,1
1530,2
1530,10
1530,4
1600,1
1600,6
1610,4
1630,10
1640,7
1640,2
1640,9
1640,6
1670,8
1670,2
1670,6
1670,3
1690,1
1700,1
1700,9
1700,6
1840,1
1840,10
1840,4
1840,6
1900,1
1900,2
1900,9
1930,1
1930,10
1930,4
1930,5
2100,9
2100,4
2100,6
2210,9
2210,10
2210,4
2210,5
2270,1
2270,10
2270,4
2280,10
2280,4
2290,7
2290,6
2290,3
2300,7
2300,9
2300,10
2300,5
2310,1
2310,2
2310,9
2310,3
2310,5
2320,1
2320,4
2320,3
2330,8
2330,2
2330,9
2330,10
2330,6
2340,7
2340,10
2340,5
2350,8
2350,10
2350,6
2350,5
2360,6
2360,3
2370,1
2370,2
2370,5
2390,7
2390,6
2390,3
2390,5
2400,8
2400,2
2400,9
2400,10
2400,4
2400,3
2450,1
2450,10
2500,4
2500,6
2500,5
2520,2
2520,10
2520,4
2590,1
2590,9
2590,6
2600,1
2600,4
2620,7
2630,1
2630,6
2640,6
2640,3
2720,1
2720,6
2720,3
2780,1
2780,2
2780,10
2780,4
2780,6
2800,3
2810,7
2810,5
2820,9
2820,5
2840,2
2840,9
2840,4
2840,3
2850,2
2850,9
2850,10
2850,5
2870,9
2870,6
2900,8
2900,9
2900,10
2910,8
2910,4
2910,6
2910,5
2920,8
2920,9
2920,10
2920,6
2990,7
2990,10
2990,6
3010,2
3010,4
3010,3
3020,7
3020,10
3050,2
3050,4
3050,6
3050,3
3050,5
3130,1
3130,4
3130,5
3170,5
3230,1
3230,4
3270,8
3270,5
3330,8
3330,2
3410,1
3410,6
3410,3
3480,7
3480,4
3480,6
3480,3
3483,4
3483,3
3490,1
3490,2
3500,8
3500,10
3500,3
3510,8
3520,4
3540,8
3540,2
3540,9
3540,4
3540,3
3560,1
3560,10
3560,3
3570,10
3570,6
3580,7
3580,9
3580,5
3590,9
3590,6
3590,3
3590,5
3600,7
3600,2
3600,4
3600,3
3600,5
3610,8
3610,2
3610,4
3610,5
3620,1
3620,9
3700,5
3710,1
3710,6
3710,3
3730,1
3730,10
3730,4
3730,3
3800,9
3800,10
3800,4
3800,5
3810,9
3810,6
3810,3
3820,2
3830,7
3830,9
3900,1
3900,2
3900,6
3910,1
3910,2
3910,10
3920,10
3960,2
3980,7
3980,2
3980,6
3990,8
3990,9
4000,1
4100,7
4100,2
4230,7
4230,10
4230,6
4290,7
4290,9
4290,3
4300,10
4300,6
4300,5
4420,7
4420,2
4420,9
4460,7
4460,2
4460,9
4460,10
4460,4
4470,1
4470,9
4470,10
4470,3
4470,5
4500,1
4500,2
4500,9
4500,6
4520,2
4520,9
4520,4
4530,2
4530,10
4530,4
4530,6
4560,3
4560,5
4570,4
4570,3
4570,5
4580,1
4580,6
4580,5
4700,1
4700,9
4720,6
4770,1
4770,4
4780,2
4780,4
4780,3
4780,5
4800,2
4850,7
4850,10
4870,9
4870,4
4880,8
4880,6
4890,9
4890,4
4890,6
4900,9
4900,4
4920,5
6000,1
6000,5
6020,1
6020,9
6020,4
6020,5
6030,6
6030,3
6030,5
6040,1
6040,2
6040,4
6060,5
6080,8
6080,2
6080,10
6080,6
6080,5
6090,10
6090,4
6090,5
6120,8
6120,10
6120,4
6120,5
6200,7
6200,10
6200,5
6210,8
6210,3
6210,5
6220,7
6220,2
6220,9
6220,6
6220,5
6250,7
6250,3
6270,1
6270,2
6270,9
6270,10
6270,3
6300,7
6300,6
6300,3
6300,5
6310,6
6310,3
6310,5
6370,1
6370,3
6400,7
6420,7
6420,3
6510,4
6510,3
6550,7
6550,2
6550,6
6550,3
6800,1
6800,4
6800,6
6810,9
6810,4
6810,5
6830,8
6830,2
6840,7
6840,6
6850,8
6850,2
6850,9
6850,10
6850,4
6860,7
6870,7
6870,9
6880,7
6910,7
6910,2
6910,5
6920,1
6920,2
6920,9
6980,8
6980,4
6980,5
7000,7
7000,9
7000,10
7000,4
7000,6
7010,9
7010,4
7020,7
7020,10
7110,10
7110,3
7110,5
7200,6
7220,7
7220,9
7220,4
7260,8
7260,2
7260,9
7340,8
7340,3
7510,4
7520,7
7520,9
7520,6
7530,7
7530,2
7600,7
7600,4
7610,7
7610,10
7610,3
7620,1
7620,10
7620,6
7620,5
7650,7
7650,2
7650,10
7650,4
7660,9
7660,10
7660,3
7730,1
7730,2
7730,4
7760,10
7830,8
7830,4
7830,6
7840,1
7840,10
7840,4
7860,5
7940,7
8000,1
8000,2
8000,9
8000,4
8080,7
8080,9
8080,10
8080,4
8100,1
8100,2
8100,10
8100,3
8100,5
8140,1
8140,2
8140,10
8140,6
8140,3
8170,1
8170,4
8170,5
8190,2
8190,9
8190,6
8190,3
8310,1
8310,2
8310,9
8310,3
8320,4
8330,7
8330,2
8340,8
8340,10
8340,4
8400,7
8400,10
8400,6
8400,3
8500,8
8500,9
8500,10
8500,4
8500,5
8600,1
8600,4
8790,2
8790,3
8800,1
8800,9
8800,10
8800,4
8870,1
8870,10
8870,6
8880,2
8880,4
8880,3
8880,5
8890,8
8890,2
8890,5
8930,1
8930,2
8970,9
8970,4
8970,5
9000,4
9000,6
9000,3
9000,5
9010,1
9010,4
9030,1
9030,2
9030,5
9040,9
9040,6
9050,8
9050,2
9050,9
9050,4
9050,6
9050,3
9060,1
9060,5
9160,8
9160,10
9160,4
9160,3
9160,5
9180,7
9180,4
9180,6
9180,3
9200,7
9200,2
